,District_Ang Mo Kio,District_Bedok,District_Bishan,District_Bukit Batok,District_Bukit Merah,District_Bukit Panjang,District_Bukit Timah,District_Central,District_Choa Chu Kang,District_Clementi,District_Geylang,District_Hougang,District_Jurong East,District_Jurong West,District_Kallang/ Whampoa,District_Marine Parade,District_Pasir Ris,District_Punggol,District_Queenstown,District_Sembawang,District_Sengkang,District_Serangoon,District_Tampines,District_Toa Payoh,District_Woodlands,District_Yishun,RoomType_Executive,RoomType_Room3,RoomType_Room4,RoomType_Room5,GDP In Chained (2015) Dollars,Total Unemployment Rate,Total Demand,Total Domestic Demand,Government Securities - 2-Year Bond Yield
1834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.6939042392097106,0.5384615384615385,0.5565217391304348,0.6282608695652174,0.021546261216730048
2145,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6301611690996425,0.5,0.41159420289855075,0.45652173913043476,0.045627376425855515
2740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.534246248842039,0.07692307692307687,0.3826086956521739,0.4,0.311787072243346
4141,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.12426212263978553,0.23076923076923084,0.46956521739130436,0.3978260869565218,0.371356147148289
899,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.7968281005944331,0.2692307692307693,0.5449275362318841,0.4717391304347826,0.15335868174904946
2185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.6301611690996425,0.5,0.41159420289855075,0.45652173913043476,0.045627376425855515
378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.9565623614617875,0.23076923076923084,0.6869565217391305,0.5934782608695652,0.3675538657794677
4765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.09171050896257804,0.0,0.5826086956521739,0.4673913043478261,0.7972116604562739
2652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5805472090558506,0.038461538461538436,0.48405797101449277,0.5217391304347826,0.33460076045627385
4213,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.12462440751327986,0.5384615384615385,0.25507246376811593,0.5347826086956522,0.05323193916349811
440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8941254236587912,0.3846153846153846,0.7275362318840579,0.7347826086956522,0.3700887197718631
1080,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8175291853833941,0.1923076923076923,0.3739130434782609,0.5043478260869565,0.1051964513307985
2748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.534246248842039,0.07692307692307687,0.3826086956521739,0.4,0.311787072243346
2040,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6478702257447893,0.11538461538461542,0.39420289855072466,0.4652173913043478,0.021546261216730048
3260,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4299669971191995,0.038461538461538436,0.4753623188405797,0.6108695652173913,0.41825095057034223
308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.9507387910172418,0.1923076923076923,0.35942028985507246,0.5239130434782608,0.6742712292775666
2234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5809968872102318,0.11538461538461542,0.4260869565217391,0.7717391304347826,0.06844106463878327
1387,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7995468261143834,0.15384615384615374,0.5478260869565218,0.5,0.10266159695817492
3350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.38549811786652355,0.07692307692307687,0.35942028985507246,0.6086956521739131,0.3929024079847909
95,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9744509715749379,0.1923076923076923,0.47246376811594204,0.532608695652174,0.8263624840304183
2103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6301611690996425,0.5,0.41159420289855075,0.45652173913043476,0.045627376425855515
3538,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3605147623141105,0.11538461538461542,0.5565217391304348,0.6760869565217391,0.575411913688213
1613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.744400076906087,0.15384615384615374,0.6231884057971016,0.5391304347826087,0.03675538669201521
4000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2785192082486545,0.5,1.0,0.9065217391304348,0.5690747783269963
2026,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6478702257447893,0.11538461538461542,0.39420289855072466,0.4652173913043478,0.021546261216730048
422,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8941254236587912,0.3846153846153846,0.7275362318840579,0.7347826086956522,0.3700887197718631
3185,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4151546304932636,0.11538461538461542,0.42898550724637685,0.6391304347826087,0.3485424589353613
479,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8705228819443893,0.7307692307692308,0.9739130434782608,1.0,0.41825095057034223
4619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.09217289886690638,0.11538461538461542,0.7565217391304349,0.8760869565217391,0.2648922688212928
1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.7404610233912088,0.15384615384615374,0.6173913043478261,0.6673913043478261,0.0063371357414448715
4108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.1795995480972894,0.23076923076923084,0.9565217391304348,0.9869565217391305,0.5221799745247149
2889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.4801069058170555,0.15384615384615374,0.5594202898550724,0.5347826086956522,0.37896070988593167
2440,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5792426657175225,0.42307692307692313,0.4579710144927536,0.4934782608695652,0.12674271216730038
3156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4151546304932636,0.11538461538461542,0.42898550724637685,0.6391304347826087,0.3485424589353613
3124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4761027045836981,0.42307692307692313,0.5246376811594203,0.48043478260869565,0.27629911292775666
2736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.534246248842039,0.07692307692307687,0.3826086956521739,0.4,0.311787072243346
818,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5799100325897488,0.8846153846153846,0.08115942028985507,0.0,0.13054499353612167
328,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9565623614617875,0.23076923076923084,0.6869565217391305,0.5934782608695652,0.3675538657794677
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.0,0.11538461538461542,0.263768115942029,0.5717391304347826,1.0000000000000002
1809,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6939042392097106,0.5384615384615385,0.5565217391304348,0.6282608695652174,0.021546261216730048
39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.11538461538461542,0.263768115942029,0.5717391304347826,1.0000000000000002
2608,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5805472090558506,0.038461538461538436,0.48405797101449277,0.5217391304347826,0.33460076045627385
4331,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.5769230769230771,0.0,0.3717391304347826,0.03548795931558936
81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9744509715749379,0.1923076923076923,0.47246376811594204,0.532608695652174,0.8263624840304183
336,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9565623614617875,0.23076923076923084,0.6869565217391305,0.5934782608695652,0.3675538657794677
1574,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.744400076906087,0.15384615384615374,0.6231884057971016,0.5391304347826087,0.03675538669201521
954,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8395967832916758,0.1923076923076923,0.463768115942029,0.4782608695652174,0.1546261091254753
3229,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4299669971191995,0.038461538461538436,0.4753623188405797,0.6108695652173913,0.41825095057034223
3929,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2508632072698498,0.11538461538461542,0.7652173913043478,0.4934782608695652,0.6299112802281369
2941,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5080012521073698,0.038461538461538436,0.5507246376811594,0.5195652173913043,0.3054499365019012
3872,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2871091732754525,0.1923076923076923,0.6956521739130435,0.5565217391304348,0.6793409380228137
2352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6172078959034797,0.038461538461538436,0.48695652173913045,0.4956521739130435,0.09632446121673005
913,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7968281005944331,0.2692307692307693,0.5449275362318841,0.4717391304347826,0.15335868174904946
537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.8705228819443893,0.7307692307692308,0.9739130434782608,1.0,0.41825095057034223
403,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8941254236587912,0.3846153846153846,0.7275362318840579,0.7347826086956522,0.3700887197718631
843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5799100325897488,0.8846153846153846,0.08115942028985507,0.0,0.13054499353612167
3519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.3648049779212794,0.15384615384615374,0.5246376811594203,0.6869565217391305,0.5095057034220533
4037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.2785192082486545,0.5,1.0,0.9065217391304348,0.5690747783269963
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.9744509715749379,0.1923076923076923,0.47246376811594204,0.532608695652174,0.8263624840304183
2414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.5940756889371228,0.07692307692307687,0.5420289855072464,0.6086956521739131,0.08871989847908748
3883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.2871091732754525,0.1923076923076923,0.6956521739130435,0.5565217391304348,0.6793409380228137
1669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.7820062001560366,0.11538461538461542,0.6,0.5869565217391304,0.02408111520912548
3259,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4299669971191995,0.038461538461538436,0.4753623188405797,0.6108695652173913,0.41825095057034223
4247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.12462440751327986,0.5384615384615385,0.25507246376811593,0.5347826086956522,0.05323193916349811
3162,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4151546304932636,0.11538461538461542,0.42898550724637685,0.6391304347826087,0.3485424589353613
3903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.2871091732754525,0.1923076923076923,0.6956521739130435,0.5565217391304348,0.6793409380228137
2204,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5809968872102318,0.11538461538461542,0.4260869565217391,0.7717391304347826,0.06844106463878327
1477,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7809447690354483,0.4615384615384617,0.6057971014492753,0.508695652173913,0.0
764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7344483656661989,0.653846153846154,0.28405797101449276,0.23695652173913043,0.12547528517110268
90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9744509715749379,0.1923076923076923,0.47246376811594204,0.532608695652174,0.8263624840304183
2060,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6478702257447893,0.11538461538461542,0.39420289855072466,0.4652173913043478,0.021546261216730048
3375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.38549811786652355,0.07692307692307687,0.35942028985507246,0.6086956521739131,0.3929024079847909
4049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.2785192082486545,0.5,1.0,0.9065217391304348,0.5690747783269963
3488,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3648049779212794,0.15384615384615374,0.5246376811594203,0.6869565217391305,0.5095057034220533
3396,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.40657261031018255,0.42307692307692313,0.5130434782608696,0.6043478260869565,0.4258555133079849
4413,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.046094394277170325,0.34615384615384615,0.336231884057971,0.55,0.0899873258555133
578,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8711552915042606,0.42307692307692313,0.46956521739130436,0.45869565217391306,0.30671736387832704
827,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5799100325897488,0.8846153846153846,0.08115942028985507,0.0,0.13054499353612167
2752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.534246248842039,0.07692307692307687,0.3826086956521739,0.4,0.311787072243346
929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.7968281005944331,0.2692307692307693,0.5449275362318841,0.4717391304347826,0.15335868174904946
2122,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6301611690996425,0.5,0.41159420289855075,0.45652173913043476,0.045627376425855515
4588,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.09217289886690638,0.11538461538461542,0.7565217391304349,0.8760869565217391,0.2648922688212928
3625,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.35579393617748134,0.11538461538461542,0.5681159420289855,0.6152173913043478,0.6730038022813688
3539,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3605147623141105,0.11538461538461542,0.5565217391304348,0.6760869565217391,0.575411913688213
3512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.3648049779212794,0.15384615384615374,0.5246376811594203,0.6869565217391305,0.5095057034220533
2537,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5271642151527236,0.07692307692307687,0.45217391304347826,0.28695652173913044,0.14068441064638787
1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8175291853833941,0.1923076923076923,0.3739130434782609,0.5043478260869565,0.1051964513307985
3460,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3648049779212794,0.15384615384615374,0.5246376811594203,0.6869565217391305,0.5095057034220533
4415,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.046094394277170325,0.34615384615384615,0.336231884057971,0.55,0.0899873258555133
2574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.5271642151527236,0.07692307692307687,0.45217391304347826,0.28695652173913044,0.14068441064638787
3811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.2969830250469143,0.11538461538461542,0.6231884057971016,0.3826086956521739,0.6856780733840304
77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9744509715749379,0.1923076923076923,0.47246376811594204,0.532608695652174,0.8263624840304183
1453,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7809447690354483,0.4615384615384617,0.6057971014492753,0.508695652173913,0.0
884,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7968281005944331,0.2692307692307693,0.5449275362318841,0.4717391304347826,0.15335868174904946
2599,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5805472090558506,0.038461538461538436,0.48405797101449277,0.5217391304347826,0.33460076045627385
3395,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.40657261031018255,0.42307692307692313,0.5130434782608696,0.6043478260869565,0.4258555133079849
3992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2785192082486545,0.5,1.0,0.9065217391304348,0.5690747783269963
4086,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1795995480972894,0.23076923076923084,0.9565217391304348,0.9869565217391305,0.5221799745247149
1292,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8124937434355728,0.15384615384615374,0.4405797101449275,0.44565217391304346,0.10646387832699622
2580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.5271642151527236,0.07692307692307687,0.45217391304347826,0.28695652173913044,0.14068441064638787
741,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.7344483656661989,0.653846153846154,0.28405797101449276,0.23695652173913043,0.12547528517110268
2482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5792426657175225,0.42307692307692313,0.4579710144927536,0.4934782608695652,0.12674271216730038
668,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8283087493385917,0.5,0.33913043478260874,0.33695652173913043,0.18757921406844105
218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.9590459196077155,0.42307692307692313,0.45217391304347826,0.6347826086956522,0.7769328262357414
4374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.5769230769230771,0.0,0.3717391304347826,0.03548795931558936
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7009958067114863,0.15384615384615374,0.48405797101449277,0.6891304347826087,0.022813688212927757
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,0.11538461538461542,0.263768115942029,0.5717391304347826,1.0000000000000002
4399,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.046094394277170325,0.34615384615384615,0.336231884057971,0.55,0.0899873258555133
3701,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3188281673311204,0.4615384615384617,0.5420289855072464,0.5108695652173914,0.6603295311787073
2138,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6301611690996425,0.5,0.41159420289855075,0.45652173913043476,0.045627376425855515
3025,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.47652378130069795,0.038461538461538436,0.6869565217391305,0.6521739130434783,0.3269961977186312
2468,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5792426657175225,0.42307692307692313,0.4579710144927536,0.4934782608695652,0.12674271216730038
3056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.47652378130069795,0.038461538461538436,0.6869565217391305,0.6521739130434783,0.3269961977186312
2643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5805472090558506,0.038461538461538436,0.48405797101449277,0.5217391304347826,0.33460076045627385
4284,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.061686944556113454,1.0,0.10434782608695653,0.32608695652173914,0.030418250950570352
1470,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7809447690354483,0.4615384615384617,0.6057971014492753,0.508695652173913,0.0
1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.8074980257063362,0.5769230769230771,0.3739130434782609,0.508695652173913,0.09505703422053233
3774,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2969830250469143,0.11538461538461542,0.6231884057971016,0.3826086956521739,0.6856780733840304
2715,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.534246248842039,0.07692307692307687,0.3826086956521739,0.4,0.311787072243346
945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.7968281005944331,0.2692307692307693,0.5449275362318841,0.4717391304347826,0.15335868174904946
3985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2785192082486545,0.5,1.0,0.9065217391304348,0.5690747783269963
3838,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2871091732754525,0.1923076923076923,0.6956521739130435,0.5565217391304348,0.6793409380228137
2309,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6172078959034797,0.038461538461538436,0.48695652173913045,0.4956521739130435,0.09632446121673005
3193,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.4151546304932636,0.11538461538461542,0.42898550724637685,0.6391304347826087,0.3485424589353613
4660,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.08686415429522087,0.038461538461538436,0.6840579710144927,0.9369565217391305,0.45247148288973393
1595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.744400076906087,0.15384615384615374,0.6231884057971016,0.5391304347826087,0.03675538669201521
1408,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7995468261143834,0.15384615384615374,0.5478260869565218,0.5,0.10266159695817492
3720,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3188281673311204,0.4615384615384617,0.5420289855072464,0.5108695652173914,0.6603295311787073
2173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.6301611690996425,0.5,0.41159420289855075,0.45652173913043476,0.045627376425855515
